	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
ATG3	90	53	-12.493	0.00094	138	97	-6.986	0.00749	96	63	-12.226	1e-05	101	64	-7.15	6e-05	174	101	-7.725	1e-05	96	65	-8.18	0.0011	78	44	-19.566	1e-05
ATG4A	90	56	-3.429	0.1843	138	66	-9.895	0.00251	96	48	-6.55	0.01483	101	64	-7.704	3e-05	174	101	-7.442	1e-05	96	56	-3.478	0.11265	78	40	-12.954	0.00066
ATG4B	90	41	1.839	0.66041	138	52	-4.27	0.13712	96	33	-6.273	0.04153	101	45	2.455	0.87933	174	67	-0.753	0.3318	96	28	2.564	0.73782	78	32	0.615	0.55816
ATG5	90	59	-8.488	0.01231	138	77	-18.711	1e-05	96	50	-2.726	0.1733	101	49	-9.897	1e-05	174	100	-1.728	0.11365	96	60	-6.447	0.0106	78	60	-8.547	0.00247
ATG7	90	34	7.121	0.92527	138	65	-4.986	0.07834	96	54	-3.677	0.09138	101	77	-7.111	1e-05	174	104	-6.779	1e-05	96	51	-4.575	0.06482	78	47	0.464	0.55283
ATG9A	90	56	-9.381	0.0074	138	60	-3.31	0.18151	96	40	-1.197	0.35697	101	64	-1.455	0.20322	174	80	-7.341	2e-05	96	37	-7.393	0.02061	78	32	-7.243	0.0468
ATHL1	90	34	-0.766	0.4406	138	59	5.413	0.92972	96	39	4.561	0.91541	101	47	1.953	0.82922	174	75	-0.037	0.49142	96	31	-0.464	0.45324	78	32	-0.444	0.45737
ATIC	90	40	-15.015	0.00073	138	71	-5.379	0.05466	96	59	-10.407	9e-05	101	55	-2.313	0.11362	174	69	-10.093	2e-05	96	34	2.657	0.76772	78	41	-12.489	0.00052
ATM	90	31	-0.995	0.42398	138	61	-3.874	0.13793	96	27	3.99	0.84453	101	30	-3.173	0.10965	174	77	-1.086	0.25295	96	49	6.776	0.98465	78	46	-3.006	0.19483
ATMIN	90	57	-20.335	1e-05	138	75	-7.821	0.00819	96	41	-1.35	0.33134	101	39	-4.952	0.01717	174	75	-11.604	1e-05	96	59	-6.167	0.01398	78	35	0.806	0.57949
ATN1	90	37	5.4	0.87369	138	64	-2.994	0.1992	96	53	-1.293	0.32146	101	28	-0.955	0.35522	174	71	-0.252	0.43996	96	33	-0.035	0.4953	78	44	2.082	0.71765
ATOH1	90	36	0.539	0.54488	138	62	-1.536	0.33215	96	48	1.14	0.65265	101	34	-1.533	0.25813	174	90	0.605	0.6564	96	41	-1.573	0.31674	78	37	1.576	0.65496
ATOX1	90	38	6.753	0.92553	138	77	-3.952	0.10775	96	46	0.296	0.54006	101	45	-5.739	0.00483	174	58	-7.509	0.00012	96	44	1.866	0.71915	78	27	-8.839	0.03161
ATP10A	90	33	-2.14	0.33297	138	74	-2.697	0.20352	96	35	-3.811	0.133	101	62	-2.781	0.06062	174	85	-0.764	0.30855	96	48	2.521	0.79411	78	34	-3.893	0.17161
ATP10B	90	33	2.643	0.70189	138	82	5.396	0.95888	96	56	-2.683	0.15969	101	56	-4.749	0.00685	174	96	-1.61	0.13778	96	63	-7.852	0.00202	78	30	1.688	0.65235
ATP10D	90	47	-1.671	0.34449	138	54	0.894	0.59258	96	43	-0.486	0.43762	101	72	-3.917	0.0102	174	94	-1.553	0.14655	96	53	-7.399	0.00676	78	38	2.018	0.70212
ATP11A	90	51	-20.209	1e-05	138	65	-0.156	0.48326	96	66	-7.446	0.00153	101	35	-0.803	0.36494	174	106	-4.424	0.00094	96	41	-0.633	0.42148	78	39	-5.705	0.06811
ATP11B	90	41	-1.499	0.36766	138	67	0.389	0.54485	96	30	2.102	0.71692	101	37	-0.384	0.43342	174	86	-0.717	0.31918	96	50	-0.195	0.47599	78	43	2.604	0.7656
ATP12A	90	49	-3.872	0.17422	138	70	-3.526	0.1493	96	44	2.769	0.81514	101	46	0.758	0.64451	174	106	-1.719	0.10939	96	53	-2.781	0.17224	78	26	-16.706	0.00068
ATP13A1	90	35	-7.6	0.06086	138	60	4.014	0.86525	96	39	-2.063	0.26262	101	61	-2.606	0.07478	174	62	-5.437	0.00258	96	41	-7.188	0.0178	78	28	-2.543	0.28489
ATP13A2	90	60	-16.138	2e-05	138	68	-3.932	0.12503	96	62	3.259	0.89507	101	51	-3.862	0.02825	174	110	-4.299	0.00112	96	41	2.184	0.74483	78	30	-2.354	0.29255
ATP13A3	90	60	-19.403	1e-05	138	86	-14.207	1e-05	96	67	-5.408	0.01543	101	75	-7.117	3e-05	174	106	-8.179	1e-05	96	67	-3.435	0.09499	78	35	-5.938	0.0736
ATP1A1	90	59	-12.59	0.00043	138	83	-7.989	0.00502	96	50	-3.969	0.08601	101	72	-5.383	0.00079	174	75	-10.581	1e-05	96	61	-7.87	0.00215	78	42	-15.062	5e-05
ATP1A2	90	43	0.886	0.58203	138	81	1.867	0.72477	96	52	-4.261	0.06559	101	42	-2.16	0.15905	174	105	-1.547	0.13352	96	45	-3.829	0.11679	78	43	-5.95	0.05209
ATP1A3	90	59	-22.331	1e-05	138	84	-6.711	0.01466	96	66	-1.171	0.32049	101	54	-3.134	0.05254	174	95	-1.891	0.0999	96	52	0.721	0.5955	78	31	-7.313	0.04645
ATP1B1	90	57	-11.452	0.00145	138	50	-7.406	0.03336	96	43	-12.162	0.00015	101	76	-2.921	0.03606	174	90	-6.168	6e-05	96	50	-1.927	0.26169	78	26	2.195	0.68145
ATP1B2	90	33	4.058	0.79231	138	54	4.347	0.8708	96	37	-2.436	0.22902	101	30	-1.166	0.32048	174	90	0.16	0.54292	96	39	-4.908	0.07824	78	50	-0.013	0.49571
ATP1B3	90	54	-13.175	0.00058	138	65	-1.028	0.38487	96	55	-2.027	0.23115	101	52	-2.616	0.09128	174	92	-6.83	1e-05	96	56	-1.016	0.36001	78	38	1.542	0.65857
ATP1B4	90	35	0.587	0.5483	138	47	1.705	0.66208	96	57	1.833	0.75088	101	50	2.147	0.86291	174	84	0.372	0.5943	96	42	1.265	0.64698	78	30	-3.419	0.2148
ATP2A1	90	38	-6.194	0.09237	138	77	-2.426	0.22263	96	60	-2.117	0.21117	101	54	1.215	0.73734	174	94	-0.119	0.46725	96	50	-6.1	0.0227	78	45	1.857	0.69921
ATP2A2	90	36	1.682	0.64046	138	90	-9.364	0.00105	96	47	-4.954	0.05021	101	62	-8.119	1e-05	174	86	-1.235	0.21186	96	54	1.557	0.70614	78	29	-2.385	0.29081
ATP2A3	90	31	2.916	0.71861	138	65	5.609	0.94492	96	43	-1.857	0.27577	101	30	-1.09	0.33117	174	81	0.144	0.5381	96	43	2.406	0.76938	78	43	0.684	0.57575
ATP2B1	90	44	7.266	0.95214	138	66	-0.86	0.40197	96	33	-8.494	0.01083	101	62	-7.628	1e-05	174	80	-2.458	0.06528	96	45	0.299	0.5379	78	37	-6.246	0.05626
ATP2B2	90	43	3.936	0.81719	138	56	7.178	0.97074	96	37	1.049	0.62452	101	37	0.221	0.5401	174	98	-1.104	0.22316	96	44	0.777	0.59572	78	51	2.069	0.7335
ATP2B3	90	42	-1.434	0.37333	138	57	3.0	0.79208	96	46	-1.543	0.30543	101	29	0.828	0.62898	174	85	-1.55	0.15911	96	47	-0.681	0.41592	78	45	2.121	0.72393
ATP2B4	90	40	1.178	0.6051	138	40	0.697	0.56072	96	33	-8.819	0.00876	101	48	-1.603	0.21323	174	92	-1.325	0.18823	96	52	-3.654	0.10955	78	32	-5.382	0.1041
ATP2C1	90	38	-3.865	0.20131	138	53	1.578	0.66097	96	73	-7.494	0.00095	101	32	1.46	0.72746	174	117	-1.521	0.12825	96	36	0.434	0.54603	78	37	0.089	0.50663
ATP2C2	90	48	-1.316	0.37357	138	86	-0.222	0.4706	96	39	-0.716	0.41254	101	52	-0.632	0.37229	174	73	-0.847	0.30576	96	55	-4.176	0.07527	78	21	1.07	0.58324
ATP4A	90	38	10.43	0.98577	138	43	-0.45	0.46076	96	30	-2.231	0.27131	101	34	1.909	0.78965	174	84	-2.287	0.07515	96	34	-4.017	0.14011	78	47	-0.475	0.4455
ATP4B	90	43	2.802	0.74081	138	74	-1.962	0.2732	96	48	-2.689	0.18044	101	42	0.802	0.64818	174	102	-4.665	0.00075	96	43	-0.065	0.49185	78	52	1.906	0.71704
ATP5A1	90	39	-2.483	0.29309	138	76	1.186	0.64078	96	54	-11.194	0.00011	101	62	-5.064	0.00323	174	90	-1.361	0.18454	96	48	-3.746	0.11396	78	26	12.17	0.99268
ATP5B	90	43	4.399	0.84312	138	72	0.731	0.58827	96	57	-4.771	0.03959	101	65	-5.316	0.00143	174	96	-7.91	1e-05	96	44	9.999	0.99857	78	37	-9.21	0.01023
ATP5C1	90	51	2.835	0.76028	138	50	-4.621	0.12342	96	56	-8.041	0.00198	101	61	-5.774	0.00097	174	81	-6.832	7e-05	96	30	2.481	0.74007	78	37	-5.393	0.08509
ATP5D	90	31	-12.322	0.01156	138	68	0.165	0.51856	96	57	-4.699	0.04196	101	49	-0.648	0.37214	174	68	-2.277	0.09718	96	27	-2.181	0.29771	78	20	5.22	0.83635
ATP5E	90	45	-6.727	0.05796	138	80	-3.387	0.14065	96	47	0.972	0.62961	101	40	2.537	0.87045	174	64	-2.654	0.07167	96	49	-1.654	0.2928	78	23	-4.607	0.17777
ATP5F1	90	54	4.159	0.85648	138	87	0.052	0.50752	96	55	-10.944	5e-05	101	32	-1.567	0.25978	174	103	-4.718	0.00069	96	48	-1.583	0.30505	78	54	-2.692	0.20031
ATP5G1	90	55	-18.776	1e-05	138	87	-16.974	1e-05	96	60	-17.918	1e-05	101	76	-7.128	3e-05	174	92	-10.278	1e-05	96	54	-5.597	0.02925	78	31	-20.082	1e-05
ATP5G2	90	37	-7.215	0.06508	138	57	-0.947	0.39684	96	33	2.677	0.7768	101	44	1.967	0.82526	174	61	-2.646	0.0783	96	35	-2.234	0.26701	78	30	-0.175	0.48378
ATP5G3	90	50	-13.735	0.00057	138	89	-7.974	0.00373	96	55	-13.188	1e-05	101	66	-6.111	0.00037	174	90	-8.71	1e-05	96	34	-6.29	0.04771	78	33	-20.929	1e-05
ATP5H	90	31	-2.363	0.32166	138	47	-4.604	0.13141	96	48	-13.349	3e-05	101	45	-2.525	0.1156	174	70	-4.849	0.00386	96	39	1.343	0.65364	78	22	13.935	0.99422
ATP5I	90	35	-0.482	0.4607	138	77	-2.25	0.23931	96	49	-5.386	0.03354	101	48	-4.567	0.01447	174	83	-1.502	0.17039	96	39	-1.506	0.3296	78	29	0.811	0.5744
ATP5J	90	55	-8.849	0.012	138	91	-6.627	0.0128	96	45	-8.433	0.00385	101	67	-7.813	2e-05	174	95	-1.536	0.1477	96	52	-3.37	0.12911	78	32	-13.321	0.00156
ATP5J2	90	44	-15.189	0.00043	138	78	-7.25	0.01186	96	48	-13.534	3e-05	101	61	-6.696	0.00019	174	90	-10.755	1e-05	96	54	1.064	0.64572	78	32	-11.107	0.00626
ATP5L	90	42	-10.565	0.0101	138	81	-5.181	0.04895	96	40	-2.201	0.24821	101	48	-5.613	0.00419	174	70	-0.071	0.48213	96	49	-5.667	0.03341	78	34	-10.414	0.00697
ATP5O	90	41	2.032	0.6751	138	72	0.141	0.51699	96	41	-7.135	0.01456	101	41	-0.237	0.45281	174	72	1.704	0.84383	96	40	-4.09	0.1138	78	37	-5.608	0.07726
ATP5S	90	39	-3.862	0.19979	138	73	-4.938	0.06646	96	45	-1.774	0.28048	101	44	-7.715	0.00046	174	73	-0.663	0.34669	96	29	-1.81	0.32244	78	51	5.397	0.94755
ATP5SL	90	46	-3.717	0.1917	138	66	-3.091	0.18714	96	55	-5.912	0.0163	101	59	1.061	0.71929	174	82	-0.645	0.34197	96	52	-4.17	0.08141	78	33	-1.334	0.37359
ATP6AP1	90	41	-1.876	0.33555	138	53	-1.9	0.31116	96	35	6.109	0.95812	101	50	-1.091	0.29282	174	66	-10.279	1e-05	96	37	0.175	0.52029	78	24	0.16	0.51225
ATP6AP2	90	38	-6.26	0.09012	138	52	4.881	0.89349	96	43	-4.367	0.08391	101	44	-6.694	0.00154	174	87	-6.473	2e-05	96	51	-1.445	0.3138	78	39	-1.755	0.3203
ATP6V0A1	90	48	-7.707	0.03209	138	51	0.215	0.52019	96	42	2.322	0.77138	101	34	-1.687	0.23716	174	86	-3.266	0.01859	96	38	0.424	0.54968	78	22	-1.501	0.38005
ATP6V0A2	90	53	-17.348	1e-05	138	92	-13.782	1e-05	96	57	-13.782	1e-05	101	64	-7.805	2e-05	174	102	-11.508	1e-05	96	53	-11.356	0.00011	78	44	-3.803	0.1436
ATP6V0A4	90	48	-0.186	0.48295	138	57	3.701	0.84105	96	38	1.356	0.66192	101	72	-3.689	0.01403	174	76	2.867	0.95736	96	60	-10.72	7e-05	78	41	-3.475	0.17433
ATP6V0B	90	48	-32.784	1e-05	138	82	-17.456	1e-05	96	63	-3.669	0.07777	101	54	-9.801	1e-05	174	79	-11.158	1e-05	96	46	-7.512	0.00978	78	32	-11.28	0.00567
ATP6V0C	90	38	6.4	0.91443	138	55	4.793	0.89571	96	40	-0.627	0.42527	101	53	3.465	0.96137	174	76	-1.203	0.23275	96	39	1.198	0.63818	78	22	3.317	0.74493
ATP6V0D1	90	26	9.241	0.94572	138	50	4.893	0.88913	96	42	-1.03	0.37217	101	45	-3.846	0.03609	174	64	-3.548	0.02698	96	33	4.076	0.86147	78	30	0.29	0.52629
ATP6V0E1	90	36	-7.386	0.06431	138	59	-5.438	0.07062	96	50	2.662	0.82224	101	27	0.733	0.60878	174	56	1.267	0.74789	96	28	-3.723	0.17742	78	28	7.117	0.93951
ATP6V0E2	90	37	-0.047	0.49546	138	67	-10.873	0.00084	96	58	-7.37	0.00356	101	72	-2.165	0.09733	174	85	-8.484	1e-05	96	53	0.634	0.5843	78	30	-11.391	0.00643
ATP6V1A	90	45	4.279	0.84266	138	61	3.029	0.80092	96	37	-0.503	0.43863	101	61	-2.921	0.05407	174	83	-4.91	0.00165	96	46	1.449	0.67783	78	26	-4.153	0.18582
ATP6V1B1	90	40	4.99	0.86655	138	54	-2.287	0.27478	96	35	2.177	0.73754	101	29	-1.598	0.26721	174	81	1.521	0.83094	96	38	-1.077	0.37719	78	38	3.205	0.79877
ATP6V1B2	90	45	-5.343	0.10527	138	79	-5.497	0.04205	96	59	-1.465	0.289	101	67	-6.228	0.00028	174	110	-6.75	1e-05	96	59	-3.156	0.12936	78	25	9.498	0.97125
ATP6V1C1	90	49	-0.984	0.40755	138	71	-2.566	0.22091	96	32	1.507	0.66402	101	50	-1.813	0.18273	174	67	-2.223	0.10325	96	42	0.128	0.51268	78	37	-8.398	0.01732
ATP6V1D	90	36	-1.658	0.36343	138	56	-3.545	0.17343	96	30	-8.473	0.01513	101	28	4.908	0.95981	174	56	-3.826	0.02696	96	52	-2.404	0.20869	78	26	1.274	0.6072
ATP6V1E1	90	30	2.368	0.67699	138	50	0.647	0.56285	96	18	-0.632	0.44637	101	30	-1.769	0.24154	174	71	1.461	0.80493	96	29	4.77	0.88227	78	39	0.714	0.57406
ATP6V1F	90	29	-2.523	0.31413	138	40	0.231	0.51879	96	49	4.852	0.95022	101	65	-5.494	0.00099	174	87	0.78	0.69456	96	38	-0.404	0.45257	78	23	-2.725	0.2901
ATP6V1G1	90	37	-15.363	0.00091	138	62	-5.421	0.06551	96	31	1.302	0.64181	101	30	-2.424	0.1717	174	71	0.678	0.65666	96	38	0.56	0.56569	78	26	-7.729	0.05252
ATP6V1G2	90	45	-2.817	0.25295	138	47	-1.392	0.36468	96	44	2.877	0.82428	101	47	1.487	0.76582	174	93	0.48	0.62575	96	43	2.598	0.78648	78	30	4.199	0.83261
ATP6V1H	90	34	0.802	0.56927	138	63	-3.079	0.19408	96	37	-0.534	0.43494	101	40	-2.829	0.10461	174	70	-0.003	0.49789	96	46	7.725	0.99177	78	34	-4.953	0.11482
ATP7A	90	40	3.086	0.75383	138	72	-0.793	0.40652	96	37	-2.205	0.25054	101	37	1.132	0.6916	174	67	0.388	0.58925	96	38	0.256	0.53015	78	33	0.144	0.51302
ATP7B	90	49	-2.837	0.24513	138	60	-2.087	0.28312	96	36	-1.955	0.28228	101	50	-3.05	0.06536	174	88	-0.342	0.4137	96	51	-6.404	0.01752	78	29	3.38	0.77963
ATP8A1	90	50	-6.751	0.04881	138	84	-1.412	0.32225	96	54	-10.63	0.0002	101	59	-4.436	0.0092	174	84	-1.697	0.14107	96	53	0.203	0.5275	78	29	10.201	0.98705
ATP8A2	90	56	-24.124	1e-05	138	72	3.903	0.87995	96	40	-3.472	0.14173	101	52	-2.594	0.0933	174	87	-0.428	0.38762	96	68	-0.932	0.35955	78	46	-8.086	0.01136
ATP8B1	90	36	-4.673	0.16556	138	73	6.277	0.97081	96	44	2.768	0.81512	101	46	-2.258	0.13845	174	95	-1.64	0.13274	96	27	2.224	0.70942	78	46	-0.813	0.4058
ATP8B2	90	39	-5.207	0.12983	138	68	0.645	0.57521	96	39	0.971	0.61844	101	32	-0.044	0.49336	174	61	-0.487	0.39358	96	52	1.101	0.64497	78	43	2.825	0.78436
ATP8B3	90	44	-0.435	0.46035	138	57	-3.885	0.14679	96	47	3.082	0.84916	101	33	0.614	0.59861	174	81	0.208	0.5539	96	57	-2.37	0.19961	78	54	0.892	0.60684
ATP8B4	90	51	3.637	0.81753	138	43	7.072	0.94664	96	40	0.578	0.5759	101	32	-1.229	0.30656	174	86	1.524	0.83574	96	47	5.224	0.95141	78	34	1.866	0.67672
ATP9A	90	36	-0.069	0.49406	138	60	-2.396	0.25457	96	28	0.617	0.5697	101	52	-2.072	0.14383	174	55	-0.486	0.40265	96	32	4.301	0.86999	78	25	3.569	0.77311
ATP9B	90	46	5.297	0.89595	138	84	4.269	0.91631	96	48	-1.943	0.25426	101	69	-3.453	0.02172	174	93	-6.683	2e-05	96	54	-4.537	0.06194	78	31	3.34	0.78286
ATPAF2	90	31	-0.826	0.43657	138	44	4.812	0.8692	96	47	-3.661	0.11028	101	37	-2.055	0.18505	174	88	-0.331	0.4166	96	43	3.395	0.84924	78	45	0.058	0.50662
ATPIF1	90	47	-11.167	0.00428	138	70	-8.385	0.00709	96	48	-11.505	0.00014	101	52	-10.83	1e-05	174	76	-7.008	4e-05	96	54	2.993	0.84861	78	31	-2.735	0.259
ATR	90	54	-15.076	0.00013	138	89	-15.504	1e-05	96	55	-11.675	5e-05	101	68	-6.488	0.00012	174	98	-8.937	1e-05	96	68	-15.707	1e-05	78	40	-16.477	4e-05
ATRN	90	51	-10.954	0.00416	138	35	1.743	0.64475	96	26	-7.544	0.03528	101	41	-2.606	0.11928	174	98	-1.195	0.20529	96	36	1.801	0.69154	78	43	-2.181	0.27358
ATRNL1	90	46	-2.494	0.27896	138	73	0.445	0.55143	96	40	1.787	0.71513	101	27	-1.012	0.34857	174	78	0.358	0.58659	96	56	5.41	0.96891	78	48	-3.686	0.14257
ATRX	90	34	0.561	0.54923	138	61	-6.07	0.04603	96	20	1.751	0.65405	101	17	-2.73	0.20597	174	52	-1.118	0.28425	96	35	-0.632	0.43064	78	43	-1.242	0.36525
ATXN1	90	38	-9.843	0.01836	138	66	0.64	0.57513	96	39	1.653	0.69499	101	43	1.355	0.73683	174	57	-0.013	0.49888	96	48	-5.326	0.04448	78	40	-3.15	0.20005
ATXN10	90	36	7.329	0.93575	138	62	-5.421	0.06552	96	47	5.658	0.96904	101	52	-0.994	0.30479	174	95	-1.417	0.16691	96	45	1.013	0.62611	78	49	-0.706	0.41808
ATXN2	90	36	-3.165	0.25428	138	64	3.127	0.81369	96	58	0.13	0.51997	101	44	-2.441	0.12486	174	75	0.351	0.58455	96	35	-1.349	0.35408	78	35	-1.479	0.35593
ATXN2L	90	41	-5.659	0.10369	138	60	-4.619	0.10249	96	40	-3.351	0.15016	101	35	-4.517	0.0346	174	52	-2.446	0.11229	96	32	1.952	0.69956	78	40	2.838	0.77574
ATXN3	90	49	-8.74	0.01797	138	72	-6.893	0.01941	96	38	0.894	0.60872	101	52	-3.002	0.06395	174	88	0.947	0.73482	96	51	-0.07	0.49173	78	42	1.631	0.6718
ATXN3L	90	45	4.973	0.87722	138	70	2.059	0.72954	96	51	2.382	0.7985	101	47	1.306	0.73795	174	96	0.641	0.66774	96	54	-2.524	0.19537	78	55	0.323	0.54034
ATXN7	90	44	-9.729	0.01397	138	71	-0.804	0.4065	96	31	-2.431	0.25231	101	41	-3.161	0.07836	174	79	-0.305	0.42378	96	38	0.019	0.5016	78	32	-1.77	0.33658
ATXN7L1	90	50	-13.17	0.00093	138	88	-12.964	4e-05	96	54	-6.623	0.00985	101	50	-11.792	1e-05	174	95	-3.81	0.00648	96	62	-5.002	0.03383	78	45	-7.376	0.02031
ATXN7L3B	90	36	2.02	0.66693	138	74	1.124	0.63409	96	44	-2.09	0.24922	101	46	-4.883	0.01154	174	66	-0.829	0.31683	96	22	-0.939	0.41795	78	35	5.081	0.89521
ATXN8OS	90	36	1.12	0.59395	138	66	1.282	0.64647	96	55	3.491	0.89821	101	69	-4.415	0.00518	174	108	-0.123	0.46254	96	53	-3.288	0.13238	78	44	-3.176	0.18668
AUH	90	39	-3.683	0.21098	138	57	-5.197	0.08303	96	29	-0.462	0.45103	101	29	0.0	0.50151	174	71	0.113	0.52547	96	52	0.107	0.51372	78	34	-2.663	0.25678
AUP1	90	34	4.297	0.81086	138	74	-2.551	0.21668	96	46	-1.503	0.31066	101	38	-2.212	0.16491	174	79	-1.193	0.22923	96	31	-3.653	0.17117	78	41	1.176	0.6258
AURKA	90	67	-20.992	1e-05	138	94	-26.096	1e-05	96	75	-8.097	0.00028	101	72	-8.359	1e-05	174	121	-8.977	1e-05	96	70	-16.13	1e-05	78	42	-24.346	1e-05
AURKAIP1	90	50	-15.308	0.00019	138	94	-21.229	1e-05	96	56	-15.225	1e-05	101	70	-7.208	3e-05	174	98	-9.422	1e-05	96	67	-3.555	0.08773	78	34	-12.434	0.00177
AURKB	90	63	-19.464	1e-05	138	94	-22.269	1e-05	96	69	-2.701	0.13571	101	69	-5.904	0.00036	174	98	-2.266	0.06003	96	71	-14.672	1e-05	78	54	-19.077	1e-05
AURKC	90	59	-13.108	0.00025	138	87	-5.407	0.03776	96	45	-0.755	0.40385	101	72	-4.741	0.00267	174	98	0.986	0.75251	96	62	-8.165	0.00179	78	33	-15.166	0.00029
AUTS2	90	53	-0.877	0.41321	138	82	-0.61	0.42091	96	42	2.553	0.79261	101	62	-2.481	0.08314	174	93	-1.198	0.20987	96	63	1.083	0.65506	78	46	0.289	0.53024
AVEN	90	43	-7.647	0.04152	138	64	-3.963	0.13124	96	58	-11.427	3e-05	101	28	-4.996	0.03597	174	94	-3.192	0.01663	96	36	-4.559	0.09938	78	40	-4.969	0.09449
AVIL	90	48	-1.079	0.39612	138	79	0.612	0.57648	96	49	-5.175	0.03897	101	44	1.331	0.73823	174	98	0.018	0.505	96	54	2.658	0.81982	78	31	0.658	0.56123
AVL9	90	52	-13.846	0.0004	138	73	3.797	0.87504	96	36	-4.444	0.09748	101	58	-2.354	0.10191	174	84	-3.512	0.01488	96	56	-3.645	0.10168	78	32	-0.756	0.42787
AVP	90	51	-7.498	0.0322	138	64	2.014	0.71818	96	41	-3.608	0.12898	101	46	-0.763	0.35376	174	71	-2.053	0.11354	96	52	-3.082	0.15005	78	24	-2.033	0.33313
AVPI1	90	21	2.21	0.6419	138	52	-0.216	0.4774	96	44	-3.283	0.14562	101	44	-3.292	0.06337	174	78	-1.693	0.14902	96	40	0.205	0.5218	78	27	-2.652	0.28128
AVPR1A	90	38	1.554	0.63119	138	66	-4.145	0.11757	96	44	1.237	0.65664	101	29	-0.776	0.38115	174	79	-0.383	0.40422	96	38	1.48	0.66817	78	45	3.396	0.82927
AVPR1B	90	41	-4.538	0.15415	138	98	-5.646	0.02318	96	56	-8.144	0.00182	101	59	-2.721	0.07036	174	96	0.613	0.66133	96	47	-2.94	0.17279	78	44	-8.554	0.00958
AVPR2	90	48	-5.674	0.08519	138	50	-0.029	0.49669	96	37	0.891	0.60573	101	26	-0.327	0.45115	174	56	1.447	0.77747	96	40	-0.187	0.47603	78	45	-0.261	0.47046
AXIN1	90	59	-8.175	0.01535	138	86	-0.808	0.39477	96	63	-2.108	0.20524	101	60	-2.527	0.08276	174	85	-0.501	0.36879	96	54	-0.001	0.5012	78	52	1.057	0.6248
AXL	90	43	-17.992	5e-05	138	67	-3.777	0.13549	96	71	-10.177	2e-05	101	52	-3.605	0.035	174	93	-1.309	0.1889	96	61	-4.511	0.04987	78	33	-5.064	0.11166
AZGP1	90	43	4.431	0.8449	138	54	0.206	0.52143	96	52	-0.021	0.497	101	40	1.396	0.73671	174	87	0.895	0.71951	96	53	1.183	0.65532	78	45	4.345	0.88892
AZGP1P1	90	34	-2.957	0.27469	138	62	1.543	0.6656	96	64	2.074	0.79252	101	38	1.175	0.70162	174	89	-0.363	0.40555	96	50	0.122	0.5178	78	58	-5.853	0.03127
AZI1	90	58	-3.574	0.17209	138	57	-4.356	0.12127	96	59	-8.311	0.00096	101	42	-0.848	0.34729	174	94	-7.147	1e-05	96	57	-7.411	0.00498	78	44	-0.62	0.42993
AZI2	90	50	-13.894	0.00047	138	80	-4.835	0.06359	96	56	-7.664	0.00292	101	61	-2.306	0.10155	174	84	-2.042	0.09846	96	55	-3.517	0.11267	78	26	-7.351	0.0607
AZIN1	90	53	-7.361	0.03204	138	85	-3.767	0.11069	96	55	-3.594	0.09537	101	54	-8.094	5e-05	174	95	-2.244	0.06466	96	39	-6.773	0.02721	78	41	-8.692	0.01083
AZU1	90	45	-3.045	0.23551	138	75	4.947	0.93572	96	40	-0.563	0.43253	101	30	0.833	0.63185	174	92	3.374	0.98646	96	49	-1.936	0.2612	78	34	-1.435	0.36177
B2M	90	52	-8.507	0.01696	138	48	4.071	0.84089	96	43	-1.421	0.32342	101	54	-0.853	0.32508	174	104	-5.535	0.00013	96	50	-0.243	0.4692	78	25	4.959	0.84718
B3GALNT1	90	61	-8.967	0.00758	138	80	-8.142	0.00514	96	55	-5.894	0.01654	101	66	-7.234	9e-05	174	90	-7.768	1e-05	96	51	-5.654	0.03081	78	51	-12.51	9e-05
B3GALT1	90	53	4.011	0.84721	138	53	-2.824	0.23155	96	36	-0.555	0.43596	101	53	-1.446	0.2262	174	91	0.114	0.53101	96	54	-0.323	0.45661	78	46	2.501	0.76064
B3GALT2	90	39	3.966	0.80869	138	66	-2.08	0.27409	96	61	0.891	0.63153	101	41	-3.074	0.08391	174	80	-0.066	0.48193	96	41	-1.21	0.3556	78	45	0.793	0.58955
B3GALT4	90	34	0.722	0.5627	138	46	0.309	0.52923	96	24	-0.714	0.428	101	34	-2.978	0.10943	174	56	-0.77	0.34217	96	47	-1.244	0.34693	78	44	0.283	0.52974
B3GALT5	90	39	5.095	0.86698	138	42	-2.989	0.24473	96	49	1.342	0.67956	101	37	0.421	0.57464	174	75	-0.464	0.38793	96	56	-6.501	0.01196	78	48	5.523	0.94461
